ID,Nivel_Educacion,Sector_Trabajo,Ocupacion,Horas_Semanales,Ingreso_Mensual_MXN,Clase_Ingreso
139,Básica,Informal,Óptico,47,9300.0,Baja
140,Licenciatura,Finanzas,Ingeniero/a,57,32700.0,Media
141,Media Superior,Finanzas,Frutero,59,14700.0,Baja
142,Media Superior,Informal,Herrero,53,8500.0,Baja
143,Licenciatura,Manufactura,Kinesiólogo/a,30,20000.0,Media
144,Media Superior,Servicios,Albañil,48,8500.0,Baja
145,Media Superior,Informal,Matemático/a,50,17200.0,Media
146,Media Superior,Informal,Profesor/a,54,15300.0,Media
147,Media Superior,Servicios,Cajero,25,8500.0,Baja
148,Licenciatura,Informal,Químico/a,28,8500.0,Baja
149,Licenciatura,Gobierno,Cerrajero,59,19600.0,Media
150,Licenciatura,Comercio,Vigilante,35,8500.0,Baja
151,Licenciatura,Comercio,Herrero,30,12800.0,Baja
152,Básica,Servicios,Cajero,25,8500.0,Baja
153,Media Superior,Servicios,Diseñador/a gráfico,27,12700.0,Baja
154,Licenciatura,Gobierno,Soldador,58,31800.0,Media
155,Licenciatura,Comercio,Albañil,39,11500.0,Baja
156,Licenciatura,Manufactura,Escultor,23,8500.0,Baja
157,Media Superior,Comercio,Escritor,27,8500.0,Baja
158,Media Superior,Manufactura,Chofer transportista,29,9900.0,Baja
159,Licenciatura,Finanzas,Carnicero,43,10800.0,Baja
160,Licenciatura,Construcción,Biólogo/a,27,10700.0,Baja
161,Licenciatura,Manufactura,Bibliotecario/a,37,19200.0,Media
162,Posgrado,Comercio,Químico/a,42,11900.0,Baja
163,Licenciatura,Gobierno,Panadero,48,14000.0,Baja
164,Licenciatura,Informal,Leñador,42,18000.0,Media
165,Media Superior,Informal,Biólogo/a,21,8500.0,Baja
166,Media Superior,Finanzas,Historiador/a,26,15600.0,Media
167,Licenciatura,Gobierno,Médico/a cirujano/a,39,11000.0,Baja
168,Básica,Gobierno,Zapatero,30,8500.0,Baja
169,Básica,Manufactura,Guardabosques,33,8500.0,Baja
170,Básica,Informal,Biólogo/a,53,8700.0,Baja
171,Básica,Comercio,Vendedor,43,11300.0,Baja
172,Media Superior,Finanzas,Escritor,22,21000.0,Media
173,Básica,Informal,Historiador/a,39,14700.0,Baja
174,Media Superior,Comercio,Barrendero,46,8500.0,Baja
175,Licenciatura,Comercio,Apicultor,25,8500.0,Baja
176,Media Superior,Gobierno,Obrero,56,23200.0,Media
177,Media Superior,Construcción,Jardinero,36,8500.0,Baja
178,Licenciatura,Gobierno,Traductor/a,29,8500.0,Baja
179,Licenciatura,Servicios,Fumigador,37,20000.0,Media
180,Media Superior,Construcción,Vendedor,23,8500.0,Baja
181,Posgrado,Informal,Historiador/a,57,29000.0,Media
182,Licenciatura,Servicios,Apicultor,57,20100.0,Media
183,Licenciatura,Servicios,Cocinero,30,8500.0,Baja
184,Media Superior,Servicios,Diseñador/a gráfico,54,19900.0,Media
185,Media Superior,Gobierno,Ferretero,36,9800.0,Baja
186,Posgrado,Comercio,Herrero,52,18900.0,Media
187,Media Superior,Informal,Apicultor,39,18400.0,Media
188,Licenciatura,Construcción,Peletero,41,20200.0,Media
189,Básica,Finanzas,Telefonista,29,8500.0,Baja
190,Licenciatura,Construcción,Herrero,31,8500.0,Baja
191,Básica,Informal,Lutier,31,8500.0,Baja
192,Básica,Manufactura,Pastor,51,8500.0,Baja
193,Licenciatura,Comercio,Cocinero,56,27800.0,Media
194,Básica,Servicios,Artesano,39,21200.0,Media
195,Licenciatura,Gobierno,Fontanero o plomero,47,27800.0,Media
196,Licenciatura,Informal,Arquitecto/a,50,24300.0,Media
197,Media Superior,Gobierno,Cerrajero,27,9600.0,Baja
198,Básica,Finanzas,Administrador/a,45,23200.0,Media
199,Licenciatura,Construcción,Geógrafo/a,29,12600.0,Baja
200,Licenciatura,Finanzas,Radiólogo/a,21,8500.0,Baja
201,Licenciatura,Servicios,Albañil,36,14500.0,Baja
202,Media Superior,Informal,Ferretero,49,8500.0,Baja
203,Licenciatura,Informal,Economista,20,8500.0,Baja
204,Licenciatura,Gobierno,Jardinero,47,11800.0,Baja
205,Licenciatura,Comercio,Cerrajero,27,8500.0,Baja
206,Media Superior,Finanzas,Óptico,39,16100.0,Media
207,Básica,Comercio,Cerrajero,27,8500.0,Baja
208,Posgrado,Finanzas,Relojero,45,15600.0,Media
209,Posgrado,Gobierno,Ingeniero/a,20,18700.0,Media
210,Licenciatura,Informal,Fumigador,21,9900.0,Baja
211,Básica,Servicios,Lavandero,36,13800.0,Baja
212,Básica,Gobierno,Imprentero,20,8500.0,Baja
213,Media Superior,Gobierno,Chofer transportista,52,13900.0,Baja
214,Media Superior,Servicios,Pastor,42,15800.0,Media
215,Básica,Manufactura,Afilador,45,15700.0,Media
216,Media Superior,Finanzas,Albañil,54,17200.0,Media
217,Media Superior,Gobierno,Herrero,51,14900.0,Baja
218,Posgrado,Finanzas,Zapatero,59,34800.0,Media
219,Básica,Informal,Joyero,56,11300.0,Baja
220,Media Superior,Comercio,Pastor,26,8500.0,Baja
221,Licenciatura,Construcción,Lechero,54,21600.0,Media
222,Básica,Servicios,Tornero,35,8500.0,Baja
223,Media Superior,Finanzas,Maestro,40,20700.0,Media
224,Licenciatura,Finanzas,Pintor,53,27800.0,Media
225,Posgrado,Gobierno,Paleontólogo/a,36,26400.0,Media
226,Media Superior,Manufactura,Telefonista,41,11200.0,Baja
227,Licenciatura,Comercio,Peletero,28,8500.0,Baja
228,Licenciatura,Gobierno,Kinesiólogo/a,54,20500.0,Media
229,Posgrado,Finanzas,Geógrafo/a,56,27200.0,Media
230,Básica,Finanzas,Guardabosques,20,8500.0,Baja
231,Licenciatura,Manufactura,Agricultor,21,8500.0,Baja
232,Licenciatura,Servicios,Farmacólogo/a,20,9300.0,Baja
233,Básica,Servicios,Albañil,54,10700.0,Baja
234,Posgrado,Construcción,Panadero,58,12000.0,Baja
235,Licenciatura,Comercio,Kinesiólogo/a,40,22400.0,Media
236,Licenciatura,Informal,Leñador,59,10400.0,Baja
237,Licenciatura,Servicios,Pintor,38,13300.0,Baja
238,Licenciatura,Comercio,Desarrollador/a web,21,20400.0,Media
239,Básica,Manufactura,Farmacólogo/a,53,12600.0,Baja
240,Media Superior,Gobierno,Físico/a,22,8500.0,Baja
241,Básica,Servicios,Diseñador/a gráfico,58,31100.0,Media
242,Media Superior,Informal,Barrendero,39,13400.0,Baja
243,Licenciatura,Servicios,Fumigador,25,8500.0,Baja
244,Básica,Informal,Pintor,54,9900.0,Baja
245,Básica,Informal,Pintor,50,8500.0,Baja
246,Licenciatura,Comercio,Kinesiólogo/a,39,8500.0,Baja
247,Media Superior,Comercio,Bombero,59,8500.0,Baja
248,Posgrado,Manufactura,Técnico/a de sonido,45,23500.0,Media
249,Licenciatura,Finanzas,Periodista,23,13400.0,Baja
250,Posgrado,Construcción,Mecánico,59,18600.0,Media
251,Licenciatura,Servicios,Kinesiólogo/a,22,13900.0,Baja
252,Posgrado,Comercio,Veterinario/a,27,15900.0,Media
253,Licenciatura,Comercio,Vigilante,25,8500.0,Baja
254,Media Superior,Gobierno,Leñador,52,14100.0,Baja
255,Licenciatura,Gobierno,Guardabosques,55,17400.0,Media
256,Básica,Servicios,Apicultor,29,8500.0,Baja
257,Licenciatura,Finanzas,Jardinero,24,8500.0,Baja
258,Licenciatura,Comercio,Carnicero,23,8500.0,Baja
259,Media Superior,Manufactura,Diseñador/a gráfico,36,12300.0,Baja
260,Básica,Servicios,Desarrollador/a web,24,14000.0,Baja
261,Licenciatura,Servicios,Leñador,24,8500.0,Baja
262,Licenciatura,Gobierno,Relojero,58,22900.0,Media
263,Licenciatura,Gobierno,Chofer transportista,29,12900.0,Baja
264,Licenciatura,Gobierno,Profesor/a,56,20400.0,Media
265,Licenciatura,Finanzas,Maestro,37,18500.0,Media
266,Licenciatura,Comercio,Camarero,32,9600.0,Baja
267,Media Superior,Servicios,Imprentero,44,15700.0,Media
268,Básica,Construcción,Físico/a,34,10400.0,Baja
269,Media Superior,Comercio,Peluquero,36,16200.0,Media
270,Licenciatura,Gobierno,Médico/a cirujano/a,46,32100.0,Media
271,Básica,Comercio,Psicoanalista,36,10700.0,Baja
272,Posgrado,Manufactura,Psicoanalista,49,30700.0,Media
273,Posgrado,Gobierno,Peluquero,31,16000.0,Media
274,Media Superior,Manufactura,Mecánico,28,8500.0,Baja
275,Posgrado,Manufactura,Peletero,47,15800.0,Media
276,Posgrado,Comercio,Lechero,43,12800.0,Baja
277,Básica,Construcción,Maestro,36,15200.0,Media
278,Posgrado,Finanzas,Telefonista,21,8500.0,Baja
279,Licenciatura,Construcción,Historiador/a,36,12700.0,Baja
280,Básica,Manufactura,Agricultor,58,14800.0,Baja
281,Licenciatura,Servicios,Periodista,23,8500.0,Baja
282,Media Superior,Construcción,Camarero,37,10700.0,Baja
283,Licenciatura,Finanzas,Químico/a,59,31600.0,Media
284,Licenciatura,Gobierno,Frutero,25,8500.0,Baja
285,Licenciatura,Finanzas,Repartidor,43,21300.0,Media
286,Licenciatura,Informal,Agricultor,54,9800.0,Baja
287,Media Superior,Manufactura,Vendedor,59,15700.0,Media
288,Licenciatura,Finanzas,Maestro,36,19500.0,Media
289,Licenciatura,Comercio,Diseñador/a gráfico,50,30100.0,Media
290,Licenciatura,Informal,Programador,32,8600.0,Baja
291,Media Superior,Servicios,Químico/a,28,17600.0,Media
292,Licenciatura,Construcción,Biólogo/a,25,8700.0,Baja
293,Licenciatura,Gobierno,Vigilante,45,14900.0,Baja
294,Licenciatura,Informal,Psicoanalista,29,10700.0,Baja
295,Licenciatura,Gobierno,Farmacólogo/a,39,17300.0,Media
296,Licenciatura,Gobierno,Lechero,36,8500.0,Baja
297,Media Superior,Servicios,Arquitecto/a,21,21900.0,Media
298,Licenciatura,Finanzas,Afilador,34,12100.0,Baja
299,Media Superior,Gobierno,Abogado/a,47,21600.0,Media
300,Licenciatura,Informal,Peletero,24,14000.0,Baja
301,Básica,Servicios,Fontanero o plomero,38,16500.0,Media
302,Media Superior,Finanzas,Cerrajero,58,18600.0,Media
303,Básica,Comercio,Tornero,55,14600.0,Baja
304,Básica,Gobierno,Albañil,48,10700.0,Baja
305,Media Superior,Comercio,Paleontólogo/a,24,10000.0,Baja
306,Media Superior,Gobierno,Lutier,29,12900.0,Baja
307,Básica,Servicios,Joyero,28,8500.0,Baja
308,Licenciatura,Informal,Mecánico,39,10800.0,Baja
309,Media Superior,Servicios,Escritor,20,8500.0,Baja
310,Licenciatura,Gobierno,Técnico/a de sonido,35,12000.0,Baja
311,Básica,Finanzas,Veterinario/a,45,19300.0,Media
312,Licenciatura,Manufactura,Obrero,30,8500.0,Baja
313,Licenciatura,Gobierno,Biólogo/a,56,24100.0,Media
314,Media Superior,Construcción,Bombero,42,8500.0,Baja
315,Licenciatura,Gobierno,Economista,55,23600.0,Media
316,Media Superior,Gobierno,Cerrajero,23,10200.0,Baja
317,Media Superior,Finanzas,Pastor,20,8500.0,Baja
318,Media Superior,Manufactura,Administrador/a,46,15000.0,Media
319,Básica,Finanzas,Bibliotecario/a,44,24400.0,Media
320,Licenciatura,Construcción,Médico/a cirujano/a,39,21600.0,Media
321,Media Superior,Finanzas,Filólogo/a,42,16100.0,Media
322,Licenciatura,Finanzas,Óptico,48,23700.0,Media
323,Posgrado,Construcción,Escritor,37,16400.0,Media
324,Básica,Comercio,Camarero,57,12800.0,Baja
325,Licenciatura,Comercio,Abogado/a,44,22300.0,Media
326,Licenciatura,Comercio,Geógrafo/a,50,23000.0,Media
327,Básica,Servicios,Pintor,42,8500.0,Baja
328,Licenciatura,Manufactura,Bibliotecario/a,46,17100.0,Media
329,Licenciatura,Finanzas,Relojero,47,33400.0,Media
330,Licenciatura,Gobierno,Repartidor,25,9700.0,Baja
331,Básica,Servicios,Desarrollador/a web,53,19500.0,Media
332,Licenciatura,Manufactura,Relojero,46,14700.0,Baja
333,Licenciatura,Servicios,Traductor/a,44,8700.0,Baja
334,Licenciatura,Informal,Periodista,56,27200.0,Media
335,Media Superior,Manufactura,Kinesiólogo/a,21,15300.0,Media
336,Licenciatura,Servicios,Leñador,59,30400.0,Media
337,Media Superior,Construcción,Óptico,46,14800.0,Baja
338,Licenciatura,Manufactura,Animador,49,18800.0,Media
339,Media Superior,Gobierno,Fumigador,35,12700.0,Baja
340,Posgrado,Gobierno,Kinesiólogo/a,35,22500.0,Media
341,Media Superior,Comercio,Pescador,32,9400.0,Baja
342,Básica,Construcción,Pastor,21,8500.0,Baja
343,Licenciatura,Informal,Geógrafo/a,52,13200.0,Baja
344,Media Superior,Comercio,Óptico,25,8500.0,Baja
345,Básica,Construcción,Actuario/a,37,11700.0,Baja
346,Media Superior,Comercio,Lutier,21,8500.0,Baja
347,Básica,Gobierno,Meteorólogo/a,30,8500.0,Baja
348,Media Superior,Finanzas,Bibliotecario/a,23,10800.0,Baja
349,Media Superior,Gobierno,Repartidor,38,8500.0,Baja
350,Licenciatura,Manufactura,Afilador,42,16800.0,Media
351,Licenciatura,Informal,Leñador,46,9600.0,Baja
352,Media Superior,Informal,Apicultor,54,9000.0,Baja
353,Básica,Manufactura,Agricultor,48,17300.0,Media
354,Básica,Finanzas,Músico/a,37,22000.0,Media
355,Licenciatura,Servicios,Óptico,31,16200.0,Media
356,Licenciatura,Servicios,Periodista,42,21100.0,Media
357,Licenciatura,Informal,Lutier,37,9500.0,Baja
358,Media Superior,Finanzas,Bibliotecario/a,30,13000.0,Baja
359,Básica,Informal,Abogado/a,58,20000.0,Media
360,Licenciatura,Servicios,Carpintero,33,11900.0,Baja
361,Licenciatura,Manufactura,Agricultor,35,11000.0,Baja
362,Posgrado,Construcción,Periodista,53,22500.0,Media
363,Licenciatura,Comercio,Músico/a,32,8500.0,Baja
364,Media Superior,Manufactura,Lingüista,36,14200.0,Baja
365,Licenciatura,Gobierno,Lutier,39,16300.0,Media
366,Licenciatura,Servicios,Jardinero,24,8500.0,Baja
367,Licenciatura,Informal,Artesano,24,11700.0,Baja
368,Licenciatura,Servicios,Lavandero,21,14700.0,Baja
369,Media Superior,Servicios,Apicultor,31,8500.0,Baja
370,Media Superior,Informal,Soldador,49,8500.0,Baja
371,Licenciatura,Gobierno,Bibliotecario/a,50,20300.0,Media
372,Básica,Servicios,Enfermero/a,52,22300.0,Media
373,Básica,Informal,Relojero,58,14000.0,Baja
374,Licenciatura,Gobierno,Lingüista,45,22000.0,Media
375,Básica,Informal,Meteorólogo/a,57,8500.0,Baja
376,Licenciatura,Informal,Artesano,42,14800.0,Baja
377,Básica,Manufactura,Barbero,57,8500.0,Baja
378,Licenciatura,Informal,Óptico,35,11700.0,Baja
379,Licenciatura,Construcción,Bombero,33,10800.0,Baja
380,Básica,Servicios,Óptico,48,13400.0,Baja
381,Media Superior,Informal,Cocinero,20,11100.0,Baja
382,Media Superior,Manufactura,Enfermero/a,28,12400.0,Baja
383,Licenciatura,Servicios,Profesor/a,31,14100.0,Baja
384,Media Superior,Gobierno,Filólogo/a,48,18000.0,Media
385,Básica,Manufactura,Farmacólogo/a,54,18100.0,Media
386,Media Superior,Servicios,Maestro,51,15700.0,Media
387,Licenciatura,Finanzas,Físico/a,21,10800.0,Baja
388,Media Superior,Servicios,Ingeniero/a,41,16100.0,Media
389,Media Superior,Comercio,Farmacólogo/a,27,8500.0,Baja
390,Posgrado,Servicios,Actuario/a,57,24000.0,Media
391,Licenciatura,Comercio,Pastor,49,13800.0,Baja
392,Media Superior,Informal,Vigilante,59,21600.0,Media
393,Media Superior,Manufactura,Biólogo/a,44,16200.0,Media
394,Media Superior,Construcción,Afilador,42,16100.0,Media
395,Básica,Comercio,Farmacólogo/a,20,8500.0,Baja
396,Licenciatura,Informal,Animador,37,16600.0,Media
397,Básica,Servicios,Joyero,48,20100.0,Media
398,Media Superior,Manufactura,Mecánico,22,8500.0,Baja
399,Básica,Comercio,Vigilante,48,8500.0,Baja
400,Media Superior,Servicios,Cocinero,54,29700.0,Media
401,Básica,Comercio,Relojero,55,8500.0,Baja
402,Posgrado,Gobierno,Cerrajero,22,8500.0,Baja
403,Media Superior,Servicios,Radiólogo/a,34,25000.0,Media
404,Licenciatura,Servicios,Panadero,21,8500.0,Baja
405,Básica,Construcción,Artesano,40,8500.0,Baja
406,Media Superior,Manufactura,Lutier,43,8500.0,Baja
407,Media Superior,Finanzas,Físico/a,58,35000.0,Alta
408,Básica,Informal,Sastre,42,8500.0,Baja
409,Básica,Comercio,Sastre,53,21500.0,Media
410,Posgrado,Manufactura,Repartidor,24,8500.0,Baja
411,Posgrado,Finanzas,Abogado/a,26,14900.0,Baja
412,Licenciatura,Servicios,Cocinero,50,16000.0,Media
413,Media Superior,Gobierno,Fumigador,21,8500.0,Baja
414,Licenciatura,Gobierno,Periodista,53,16900.0,Media
415,Licenciatura,Construcción,Apicultor,24,8500.0,Baja
416,Media Superior,Finanzas,Jardinero,30,17100.0,Media
417,Licenciatura,Manufactura,Tornero,47,15800.0,Media
418,Licenciatura,Construcción,Camarero,31,11000.0,Baja
419,Licenciatura,Informal,Psicoanalista,26,12700.0,Baja
420,Licenciatura,Gobierno,Diseñador/a gráfico,39,25100.0,Media
421,Licenciatura,Comercio,Peluquero,49,15600.0,Media
422,Media Superior,Informal,Filólogo/a,48,21300.0,Media
423,Media Superior,Comercio,Imprentero,21,8500.0,Baja
424,Licenciatura,Finanzas,Músico/a,33,23900.0,Media
425,Media Superior,Manufactura,Filólogo/a,30,8500.0,Baja
426,Básica,Servicios,Lingüista,48,14300.0,Baja
427,Básica,Finanzas,Maestro,57,27900.0,Media
428,Licenciatura,Comercio,Administrador/a,32,8500.0,Baja
429,Media Superior,Informal,Contador/a,51,19100.0,Media
430,Media Superior,Servicios,Fumigador,58,9200.0,Baja
431,Media Superior,Comercio,Economista,59,19300.0,Media
432,Media Superior,Manufactura,Traductor/a,59,14300.0,Baja
433,Posgrado,Gobierno,Músico/a,42,21200.0,Media
434,Media Superior,Comercio,Escritor,37,11900.0,Baja
435,Media Superior,Comercio,Albañil,52,8900.0,Baja
436,Licenciatura,Manufactura,Ingeniero/a,33,11100.0,Baja
437,Licenciatura,Comercio,Barrendero,53,15400.0,Media
438,Básica,Gobierno,Guardabosques,43,12800.0,Baja
439,Media Superior,Manufactura,Lingüista,25,10100.0,Baja
440,Media Superior,Gobierno,Soldador,20,8500.0,Baja
441,Media Superior,Informal,Lingüista,24,8500.0,Baja
442,Licenciatura,Informal,Guardabosques,59,19700.0,Media
443,Básica,Informal,Maestro,25,8500.0,Baja
444,Licenciatura,Comercio,Jardinero,43,13900.0,Baja
445,Licenciatura,Gobierno,Repartidor,41,8500.0,Baja
446,Licenciatura,Construcción,Escultor,57,23600.0,Media
447,Licenciatura,Gobierno,Peletero,55,21000.0,Media
448,Básica,Servicios,Soldador,29,9900.0,Baja
449,Licenciatura,Comercio,Apicultor,26,10600.0,Baja
450,Licenciatura,Servicios,Telefonista,44,19900.0,Media
451,Licenciatura,Informal,Profesor/a,23,13000.0,Baja
452,Licenciatura,Comercio,Repartidor,47,18900.0,Media
453,Media Superior,Gobierno,Periodista,55,17400.0,Media
454,Media Superior,Informal,Imprentero,37,8500.0,Baja
455,Licenciatura,Servicios,Enfermero/a,41,13000.0,Baja
456,Media Superior,Gobierno,Administrador/a,24,8500.0,Baja
